REF_DATE,GEO,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
2022-02-01,Newfoundland and Labrador,Both sexes,15 years and over,232600.0,197800.0,266300.0,34800.0,446700.0,33700.0,52.1,59.6,12.7
2022-02-01,Nova Scotia,Both sexes,15 years and over,481400.0,397400.0,514000.0,84000.0,831600.0,32600.0,57.9,61.8,6.3
2022-02-01,Ontario,Both sexes,15 years and over,7721300.0,6334000.0,8183700.0,1387400.0,12454900.0,462400.0,62.0,65.7,5.7
2022-02-01,Prince Edward Island,Both sexes,15 years and over,83500.0,71300.0,92400.0,12200.0,137200.0,8900.0,60.9,67.3,9.6
2022-02-01,Quebec,Both sexes,15 years and over,4398200.0,3611900.0,4598800.0,786200.0,7127000.0,200600.0,61.7,64.5,4.4
2022-02-01,Saskatchewan,Both sexes,15 years and over,583500.0,475400.0,611800.0,108100.0,893000.0,28300.0,65.3,68.5,4.6
2022-03-01,Alberta,Both sexes,15 years and over,2350300.0,1896900.0,2506000.0,453400.0,3586600.0,155700.0,65.5,69.9,6.2
2022-03-01,British Columbia,Both sexes,15 years and over,2737000.0,2164200.0,2879100.0,572700.0,4409800.0,142200.0,62.1,65.3,4.9
2022-03-01,Canada,Both sexes,15 years and over,19663300.0,16022400.0,20759500.0,3640900.0,31626800.0,1096300.0,62.2,65.6,5.3
2022-03-01,Manitoba,Both sexes,15 years and over,673900.0,539400.0,707100.0,134500.0,1058900.0,33300.0,63.6,66.8,4.7
2022-03-01,New Brunswick,Both sexes,15 years and over,369500.0,317400.0,397900.0,52100.0,658700.0,28500.0,56.1,60.4,7.2
2022-03-01,Newfoundland and Labrador,Both sexes,15 years and over,229700.0,198300.0,265100.0,31400.0,447000.0,35400.0,51.4,59.3,13.4
2022-03-01,Nova Scotia,Both sexes,15 years and over,478500.0,397100.0,514300.0,81500.0,833200.0,35800.0,57.4,61.7,7.0
2022-03-01,Ontario,Both sexes,15 years and over,7750000.0,6352700.0,8185700.0,1397400.0,12469200.0,435700.0,62.2,65.6,5.3
2022-03-01,Prince Edward Island,Both sexes,15 years and over,84400.0,70900.0,92300.0,13500.0,137600.0,7900.0,61.3,67.1,8.6
